,order_id,user_id,order_number,orders_day_of_week,order_hour_of_day,days_from_last_order,first_order
70,1538526,45741,28,4,18,8.0,False
71,3160427,84078,1,6,18,,True
72,1694195,187337,52,4,17,6.0,False
73,3001918,5000,18,2,13,5.0,False
74,1191050,97837,49,3,13,2.0,False
75,1690350,95620,22,2,16,6.0,False
76,1560532,3371,18,3,17,21.0,False
77,2695235,107614,4,4,13,27.0,False
78,1039285,60781,9,1,6,30.0,False
79,2600509,50702,1,6,10,,True
80,903673,160213,30,5,4,8.0,False
81,1037243,128359,20,0,16,8.0,False
82,470885,125976,12,4,22,18.0,False
83,3000090,36628,21,0,13,4.0,False
84,2650217,176144,22,3,16,14.0,False
85,3300196,201625,16,3,16,9.0,False
86,2579813,84225,28,6,7,11.0,False
87,1252164,160555,3,0,13,29.0,False
88,148486,166254,53,3,13,0.0,False
89,2547124,185928,4,4,20,11.0,False
90,1584835,86705,10,0,13,7.0,False
91,1903041,123691,38,0,10,8.0,False
92,1196248,179189,37,3,12,1.0,False
93,2715232,158307,14,5,16,7.0,False
94,2138570,11090,3,1,12,30.0,False
95,3160352,92876,26,2,18,2.0,False
96,1974605,18595,6,2,6,30.0,False
97,3397459,155105,2,0,13,1.0,False
98,3226783,36872,25,1,10,8.0,False
99,855344,152202,46,6,20,7.0,False
100,1753078,181330,6,5,13,5.0,False
101,7447,76142,56,5,11,4.0,False
102,3226197,185401,22,3,9,9.0,False
103,1639161,182706,39,2,12,20.0,False
104,3340782,90327,2,2,12,30.0,False
105,543820,50637,2,1,8,7.0,False
106,752763,55714,2,5,8,20.0,False
107,3276520,126947,19,1,8,7.0,False
108,3277515,192296,1,0,11,,True
109,970214,4452,2,1,19,30.0,False
110,242322,144047,11,5,14,14.0,False
111,1182502,1424,37,1,17,7.0,False
112,674727,86219,23,4,11,4.0,False
113,1491241,171686,3,0,13,18.0,False
114,218383,101084,1,1,13,,True
115,2322618,96328,13,4,17,2.0,False
116,2243737,108422,41,2,11,4.0,False
117,2925619,203833,18,4,11,3.0,False
118,460064,15171,5,2,9,3.0,False
119,2915412,163159,37,2,9,8.0,False
120,2784411,129239,2,0,2,5.0,False
121,2348211,39801,72,3,9,2.0,False
122,3337577,32007,43,0,13,2.0,False
123,1101549,37220,15,2,12,6.0,False
124,641905,82301,9,4,15,7.0,False
125,1580158,81503,29,1,9,10.0,False
126,3091666,149789,8,4,17,11.0,False
127,1448751,186256,21,1,8,4.0,False
128,3169998,77599,7,4,10,10.0,False
129,527048,70363,16,1,18,19.0,False
130,494349,51994,24,6,13,12.0,False
131,840421,193205,3,3,18,12.0,False
132,2641380,26022,33,0,12,4.0,False
133,2852278,2019,20,6,17,7.0,False
134,1101960,156441,12,2,14,14.0,False
135,2450632,150237,14,2,15,9.0,False
136,2712110,73457,5,1,20,20.0,False
137,84957,111545,4,0,21,13.0,False
138,1806813,78251,33,4,11,4.0,False
139,938887,181849,2,3,16,5.0,False
140,1851262,198855,5,1,10,10.0,False
141,2846458,149192,6,6,8,6.0,False
142,2115484,85536,33,0,9,2.0,False
143,2619311,97741,1,5,14,,True
144,1780727,38996,12,1,14,30.0,False
145,2396436,16513,13,2,7,4.0,False
146,201622,147720,39,5,14,2.0,False
147,543018,156916,22,1,9,7.0,False
148,1850877,143840,72,5,17,2.0,False
149,1041009,92966,1,0,12,,True
150,1976796,52668,19,2,11,8.0,False
151,18934,422,17,5,10,5.0,False
152,2986372,20046,66,4,11,3.0,False
153,2099838,18648,1,4,20,,True
154,1228835,101481,1,5,9,,True
155,1848536,66588,64,1,15,4.0,False
156,1731857,111447,23,0,12,7.0,False
157,2360694,49812,4,3,19,7.0,False
158,16855,115371,27,1,16,4.0,False
159,98377,139347,34,1,8,5.0,False
160,2044475,185596,6,1,16,19.0,False
161,449615,59622,8,2,7,13.0,False
162,1279765,57051,54,5,13,7.0,False
163,138,197422,20,0,16,7.0,False
164,989586,175426,3,2,15,17.0,False
165,474646,193219,1,5,12,,True
166,2561595,130911,3,0,10,6.0,False
167,1398534,167641,22,1,13,15.0,False
168,1530125,12528,11,6,18,6.0,False
169,2384775,199216,19,1,18,2.0,False
170,3125194,17483,6,6,17,30.0,False
171,2819230,133653,24,3,9,8.0,False
172,1274736,182276,4,2,7,17.0,False
173,649553,80663,9,3,11,8.0,False
174,2171831,150467,20,4,17,10.0,False
175,1275737,21155,27,6,16,6.0,False
176,3346254,35998,11,2,9,12.0,False
177,2909750,122659,13,4,11,6.0,False
178,2147406,51873,5,6,16,6.0,False
179,713585,147074,22,0,10,20.0,False
180,3157469,2978,20,6,16,13.0,False
181,1024369,32389,15,4,14,9.0,False
182,2958766,177113,13,5,9,21.0,False
183,2650885,26070,18,4,11,30.0,False
184,618445,59084,2,4,15,9.0,False
185,1525508,20277,29,6,17,7.0,False
186,1765627,30930,23,0,16,4.0,False
187,203757,161093,11,0,12,2.0,False
188,2500458,58484,12,4,19,5.0,False
189,1999511,19003,6,0,12,30.0,False
190,727666,43292,14,4,9,14.0,False
191,3066841,38767,42,1,12,7.0,False
192,487829,57274,4,5,15,30.0,False
193,421516,178262,41,0,19,4.0,False
194,1223493,202947,23,5,17,4.0,False
195,1577356,148993,72,3,14,2.0,False
196,2690138,71494,13,1,8,2.0,False
197,2553343,126419,1,3,17,,True
198,444665,123420,3,4,21,18.0,False
199,1845680,1955,14,0,11,6.0,False
200,961757,91284,40,5,14,8.0,False
201,1287339,147824,15,5,9,30.0,False
202,127666,67414,6,3,14,5.0,False
203,160904,138200,3,5,11,8.0,False
204,769641,145996,13,5,15,30.0,False
205,2703089,32828,8,2,13,16.0,False
206,3314056,20606,11,5,13,19.0,False
207,3212327,156563,7,1,21,30.0,False
208,1619081,93957,4,4,12,30.0,False
209,3332245,104179,3,4,13,12.0,False
210,3197258,127230,4,5,19,30.0,False
211,1025698,14021,16,0,7,4.0,False
212,1167658,101942,11,6,21,6.0,False
213,3287579,107302,8,5,16,5.0,False
214,2887501,202929,27,0,16,7.0,False
215,859401,8803,24,0,7,8.0,False
216,284768,52481,11,0,12,9.0,False
217,3183320,27053,3,4,21,18.0,False
218,606291,154160,75,1,10,4.0,False
219,938035,120097,8,6,13,9.0,False
220,1956535,149671,9,5,14,30.0,False
221,965910,184301,28,1,7,5.0,False
222,370713,83965,4,0,13,21.0,False
223,3218732,41191,26,0,10,6.0,False
224,2665931,99744,6,5,13,19.0,False
225,66769,36367,15,1,12,5.0,False
226,2989453,66795,3,2,10,21.0,False
227,1693629,190999,6,1,15,21.0,False
228,2055167,172936,31,2,11,4.0,False
229,3364114,35473,4,6,11,8.0,False
230,2042912,3418,25,4,7,5.0,False
231,948150,96529,5,5,11,9.0,False
232,1649461,2344,4,0,15,3.0,False
233,1455418,75333,43,1,8,6.0,False
234,361350,30425,23,6,9,6.0,False
235,369257,204619,27,1,12,7.0,False
236,842556,25775,29,2,11,8.0,False
237,2048963,17006,22,0,13,14.0,False
238,826911,145897,16,0,10,2.0,False
239,2755595,180595,11,0,12,2.0,False
240,1832843,148458,1,3,14,,True
241,1742709,49610,3,1,15,11.0,False
242,822890,14507,21,1,19,13.0,False
243,165602,83360,2,5,13,30.0,False
244,2136893,129647,17,5,14,2.0,False
245,2346359,25468,2,6,21,13.0,False
246,1882059,142533,1,0,20,,True
247,3042652,114013,2,0,8,3.0,False
248,1926132,93895,8,2,17,30.0,False
249,2882807,127300,6,2,13,10.0,False
250,510206,15572,22,0,14,7.0,False
251,1411404,48052,29,6,12,6.0,False
252,2864564,129121,3,1,10,5.0,False
253,1707078,183483,14,3,8,7.0,False
254,1097008,103941,8,0,14,7.0,False
255,2705590,124697,7,1,16,5.0,False
256,54911,142632,4,6,11,25.0,False
257,932473,25800,5,3,14,30.0,False
258,1420390,30728,11,6,18,12.0,False
259,2638120,116352,10,5,19,10.0,False
260,2007594,1244,7,3,15,30.0,False
261,2480259,26986,13,6,9,3.0,False
262,1917348,158289,5,6,17,30.0,False
263,2810757,179222,32,0,9,2.0,False
264,195130,136083,17,4,10,13.0,False
265,2492796,127877,3,6,16,30.0,False
266,1155889,53090,2,0,16,5.0,False
267,3016023,173463,4,5,17,5.0,False
268,2421600,44487,3,3,11,30.0,False
269,2710512,132487,10,5,17,19.0,False
270,3256937,132823,6,6,17,10.0,False
271,2587174,173330,2,6,13,6.0,False
272,3072430,25033,39,3,16,12.0,False
273,2097927,200640,33,0,18,15.0,False
274,2250962,185083,25,3,21,3.0,False
275,3313350,142655,7,0,13,1.0,False
276,1575532,49368,7,6,14,6.0,False
277,2464150,152360,24,0,11,4.0,False
278,3160723,137121,19,3,12,17.0,False
279,2544640,9029,7,6,16,7.0,False
280,3250817,111641,44,0,9,26.0,False
281,2224726,141369,3,5,17,4.0,False
282,827538,190056,46,3,10,1.0,False
283,1394694,152858,8,3,6,30.0,False
284,323223,120120,24,1,19,13.0,False
285,160924,25786,22,4,18,9.0,False
286,1348732,35340,9,2,8,6.0,False
287,192518,146337,34,4,8,3.0,False
288,3023623,19347,3,0,9,6.0,False
289,1012721,141840,13,3,17,8.0,False
290,2420647,67441,13,6,15,12.0,False
291,1971473,137716,7,4,11,2.0,False
292,2355319,197605,24,4,20,0.0,False
293,188117,28272,7,5,12,9.0,False
294,2043405,13122,7,4,17,15.0,False
295,3098454,121571,3,3,19,4.0,False
296,2463567,50087,46,0,16,5.0,False
297,62690,200749,40,2,18,13.0,False
298,1480680,30047,28,4,15,3.0,False
299,2950282,33104,61,3,23,2.0,False
300,1396467,191606,13,2,9,1.0,False
301,1001295,155695,8,2,9,20.0,False
302,94950,43473,4,6,15,7.0,False
303,2493362,158455,7,2,18,7.0,False
304,160333,191133,30,3,9,30.0,False
305,266833,71573,14,3,16,7.0,False
306,561984,151858,1,2,14,,True
307,2458108,126372,33,2,13,1.0,False
308,101080,80559,3,0,12,6.0,False
309,856533,1885,2,4,19,5.0,False
310,1596929,192578,1,4,16,,True
311,401308,53571,7,6,15,13.0,False
312,2439400,84269,1,6,15,,True
313,1884919,66603,31,6,8,21.0,False
314,1273848,126311,25,6,13,5.0,False
315,1085787,12106,9,0,10,26.0,False
316,2991699,173495,3,5,11,2.0,False
317,2413406,139573,6,3,14,30.0,False
318,537002,50354,34,4,7,5.0,False
319,1232995,199601,30,5,10,10.0,False
320,1110794,33220,47,3,11,3.0,False
321,1967973,146169,8,6,14,29.0,False
322,2493804,12998,1,1,12,,True
323,3194635,156482,18,1,20,22.0,False
324,1228174,127081,88,0,10,6.0,False
325,2662292,115767,36,2,12,7.0,False
326,43801,161693,1,2,12,,True
327,979216,202003,40,6,22,7.0,False
328,2749307,44949,28,1,7,28.0,False
329,1332719,73676,36,2,20,1.0,False
330,2362239,200256,6,1,16,30.0,False
331,1048737,187697,39,6,13,12.0,False
332,3001418,106688,18,5,13,25.0,False
333,3158232,166879,8,3,16,30.0,False
334,2399324,76827,3,6,17,4.0,False
335,90230,131706,9,0,14,7.0,False
336,860649,85920,12,1,16,21.0,False
337,922750,47660,5,0,19,2.0,False
338,905668,167589,8,3,17,3.0,False
339,59110,73778,9,0,17,22.0,False
340,3386271,183036,7,2,21,6.0,False
341,3096197,194321,41,0,13,2.0,False
342,1840999,62142,15,5,7,5.0,False
343,3334366,163202,4,1,15,8.0,False
344,847259,125078,2,4,18,30.0,False
345,3096322,92822,12,2,15,7.0,False
346,1619090,87595,12,6,13,11.0,False
347,266013,27728,2,0,12,30.0,False
348,2613677,193337,15,0,7,11.0,False
349,776474,4176,28,1,16,11.0,False
350,1891715,165294,93,1,10,5.0,False
351,419923,32973,3,5,14,28.0,False
352,2479393,177585,4,1,12,19.0,False
353,2368342,99250,2,2,16,10.0,False
354,693348,95890,19,0,1,26.0,False
355,885176,107172,3,2,14,18.0,False
356,1407684,157872,10,0,16,27.0,False
357,1897653,147696,11,5,15,4.0,False
358,1583419,163188,5,0,17,30.0,False
359,3335942,186789,3,3,10,30.0,False
360,3275262,74680,94,0,10,2.0,False
361,1950218,123496,71,4,19,2.0,False
362,3005027,32509,8,1,17,12.0,False
363,1761946,161879,9,5,12,8.0,False
364,2661569,26379,22,2,9,30.0,False
365,1281465,47630,1,0,18,,True
366,3191055,49788,47,5,16,5.0,False
367,1751670,114257,7,1,16,2.0,False
368,3388493,96726,2,4,10,3.0,False
369,2444689,37810,56,4,18,3.0,False
370,2105499,134511,58,2,7,5.0,False
371,2741754,171502,15,0,14,8.0,False
372,3317875,73650,5,0,20,6.0,False
373,3097779,173243,9,3,10,8.0,False
374,1665967,55177,14,0,12,6.0,False
375,560606,36190,21,4,7,1.0,False
376,2402341,122753,62,1,16,3.0,False
377,2995964,120181,23,3,21,14.0,False
378,1978148,107787,1,3,12,,True
379,1809515,138248,12,1,17,8.0,False
380,252378,32800,5,6,12,6.0,False
381,235757,121006,3,6,21,12.0,False
382,1876323,204625,3,0,13,14.0,False
383,1212714,195999,23,0,13,2.0,False
384,2396533,68891,83,4,13,2.0,False
385,1304318,116564,23,3,10,7.0,False
386,2410678,190351,1,5,12,,True
387,482105,186254,5,6,8,16.0,False
388,2968891,82024,1,1,13,,True
389,1146531,47521,5,2,10,15.0,False
390,3167003,109515,6,1,18,22.0,False
391,2966817,186581,5,4,15,29.0,False
392,1538677,55101,10,5,21,30.0,False
393,1138791,143225,20,2,10,7.0,False
394,312597,6032,11,0,7,2.0,False
395,2139826,116277,2,4,19,30.0,False
396,3226158,100916,14,2,19,2.0,False
397,2811440,7962,22,2,17,26.0,False
398,921452,152859,18,0,13,9.0,False
399,1092538,167427,47,1,17,5.0,False
400,40772,111815,7,1,16,30.0,False
401,84581,91123,6,1,8,7.0,False
402,3210915,79712,8,3,11,2.0,False
403,1030888,90760,21,0,13,13.0,False
404,1474388,118242,8,0,17,21.0,False
405,523334,175345,24,0,8,6.0,False
406,1142184,154997,7,0,14,12.0,False
407,180174,102927,1,1,16,,True
408,3148298,144462,18,0,10,1.0,False
409,658989,11943,12,3,14,28.0,False
410,2047451,25773,6,4,20,17.0,False
411,2959196,141403,7,0,13,30.0,False
412,1559957,62691,16,3,13,21.0,False
413,3169200,143046,50,1,11,7.0,False
414,2652418,22574,4,6,10,8.0,False
415,1561000,36187,5,6,17,24.0,False
416,2686087,59840,3,5,13,17.0,False
417,2159873,17077,4,1,16,25.0,False
418,1543028,97425,47,4,17,3.0,False
419,2486985,134075,25,0,19,4.0,False
420,2413863,10207,2,3,15,30.0,False
421,1815819,123352,1,6,11,,True
422,3203521,145131,12,2,11,8.0,False
423,1738364,140313,4,4,17,8.0,False
424,2809196,205685,7,0,10,10.0,False
425,2805316,152854,21,0,10,6.0,False
426,1092014,16012,2,5,17,26.0,False
427,974209,55668,50,2,10,6.0,False
428,96348,104298,30,1,10,7.0,False
429,575174,137908,6,4,16,7.0,False
430,3154200,159348,9,2,19,30.0,False
431,1020,92843,12,1,17,4.0,False
432,2746436,143266,12,5,13,7.0,False
433,2733702,91597,10,4,11,30.0,False
434,437805,147631,2,4,13,30.0,False
435,1737407,178890,7,3,17,27.0,False
436,2403434,165611,18,3,16,10.0,False
437,648982,49953,34,1,18,1.0,False
438,104316,104156,63,2,10,8.0,False
439,2551050,98322,4,0,19,8.0,False
440,522585,189310,2,6,14,14.0,False
441,55846,185083,27,1,15,24.0,False
442,41416,153750,35,5,9,13.0,False
443,2325777,185289,13,2,13,4.0,False
444,1186453,156853,1,1,12,,True
445,2989109,120242,11,0,13,7.0,False
446,3393623,107749,2,1,18,9.0,False
447,3183158,110708,60,5,16,0.0,False
448,2474068,16731,78,3,14,3.0,False
449,1958557,112898,2,4,11,17.0,False
450,334875,121327,76,2,21,0.0,False
451,326911,20862,4,0,17,10.0,False
452,1487877,15236,6,2,11,8.0,False
453,3241616,152940,8,4,10,12.0,False
454,1015849,91196,9,3,15,4.0,False
455,2642326,51037,9,5,13,7.0,False
456,2898024,18529,6,5,20,7.0,False
457,560174,182453,12,2,12,29.0,False
458,1912694,141761,41,4,10,6.0,False
459,1845829,178085,10,2,15,30.0,False
460,478980,202913,18,5,16,9.0,False
461,1832345,20076,11,2,9,11.0,False
462,1155141,80151,27,0,16,3.0,False
463,2540923,145683,18,6,9,13.0,False
464,1495206,146439,17,5,13,5.0,False
465,3143352,89877,18,2,15,2.0,False
466,1641456,11985,8,3,14,16.0,False
467,2096654,199916,40,6,11,14.0,False
468,959607,56194,4,4,11,25.0,False
469,1747523,62637,16,3,9,28.0,False
470,1208649,57009,8,0,18,13.0,False
471,2128242,69571,7,3,19,4.0,False
472,2593095,4447,7,2,19,19.0,False
473,738277,144184,15,2,8,7.0,False
474,4440,9170,1,0,12,,True
475,2046215,24286,5,5,18,6.0,False
476,1936889,112930,4,6,5,0.0,False
477,1777986,13927,37,5,17,5.0,False
478,3184675,68251,10,0,19,3.0,False
479,3051174,113857,1,1,7,,True
480,2315042,189072,50,4,8,5.0,False
481,1432609,89175,15,5,18,7.0,False
482,781507,44141,5,4,13,7.0,False
483,1706712,113666,10,4,16,13.0,False
484,2785716,151134,6,1,17,7.0,False
485,1395537,145121,65,6,17,4.0,False
486,3096286,66629,21,5,17,8.0,False
487,1343327,186227,26,5,15,4.0,False
488,1007330,63996,5,6,12,17.0,False
489,1981606,151669,15,6,10,14.0,False
490,1786592,24898,4,1,15,10.0,False
491,2644719,11343,5,1,11,7.0,False
492,2627169,91203,10,1,9,13.0,False
493,757098,16290,55,0,14,2.0,False
494,2707878,42148,7,5,12,24.0,False
495,881046,29727,39,1,15,5.0,False
496,1367615,9120,15,4,15,15.0,False
497,1161607,203972,37,4,16,6.0,False
498,2704686,142646,3,0,9,7.0,False
499,1016012,42939,8,6,14,27.0,False
500,2549825,41265,6,2,16,2.0,False
501,3215998,189003,6,1,19,5.0,False
502,922707,124721,18,3,12,8.0,False
503,827213,153063,4,0,12,30.0,False
504,919637,138374,4,6,14,6.0,False
505,283440,99400,44,6,21,2.0,False
506,538053,124012,30,6,12,14.0,False
507,3009030,40488,1,1,13,,True
508,2374342,109442,5,3,17,17.0,False
509,188119,61024,4,6,7,6.0,False
510,3407317,29000,5,1,14,14.0,False
511,1422182,173352,16,3,17,30.0,False
512,2538192,48698,50,1,15,8.0,False
513,630228,151424,17,1,11,7.0,False
514,567794,152591,21,5,12,12.0,False
515,2425755,184866,4,5,21,3.0,False
516,2108486,177404,14,2,12,5.0,False
517,1174286,150186,37,1,15,10.0,False
518,1288694,118496,7,4,18,30.0,False
519,2704756,13308,6,0,12,30.0,False
520,883210,194560,34,5,14,0.0,False
521,50035,92564,1,5,14,,True
522,157969,154410,1,0,13,,True
523,304190,64134,26,2,16,8.0,False
524,2724551,34305,34,5,9,5.0,False
525,2058144,169479,10,1,9,30.0,False
526,1641034,57190,10,5,18,30.0,False
527,1460031,183819,32,0,14,3.0,False
528,1997774,91228,9,0,7,7.0,False
529,2167382,196098,4,5,19,7.0,False
530,1589836,179373,42,0,14,7.0,False
531,2754977,110033,3,6,17,4.0,False
532,1491969,156762,1,4,18,,True
533,2221603,101801,23,5,15,6.0,False
534,868751,162929,2,5,12,1.0,False
535,907753,34608,13,3,18,2.0,False
536,1779735,85123,6,0,19,6.0,False
537,875372,167480,9,6,18,30.0,False
538,67467,184228,7,2,9,7.0,False
539,3054922,161895,2,3,21,30.0,False
540,1186445,130035,11,1,10,30.0,False
541,871046,159424,14,3,16,30.0,False
542,464047,35233,12,1,16,14.0,False
543,3107341,32657,2,4,10,23.0,False
544,1864973,3634,14,6,19,3.0,False
545,266949,59328,4,2,11,3.0,False
546,404287,193126,51,1,19,8.0,False
547,620791,60815,10,2,15,24.0,False
548,2239594,120544,65,1,22,2.0,False
549,773679,184726,7,5,13,30.0,False
550,2374705,137875,17,3,18,22.0,False
551,2739657,105699,1,1,10,,True
552,1760425,195825,9,4,13,6.0,False
553,3346462,171956,45,0,9,3.0,False
554,767460,194379,7,2,10,7.0,False
555,2538860,194950,8,3,8,15.0,False
556,2900874,134948,7,0,10,8.0,False
557,57570,74531,4,3,15,30.0,False
558,2146125,205694,4,1,19,14.0,False
559,274579,59215,16,0,15,6.0,False
560,21437,93750,12,6,13,9.0,False
561,507392,170224,56,0,10,3.0,False
562,2115654,114477,10,0,16,18.0,False
563,1443886,113656,57,1,15,6.0,False
564,3101229,52868,7,5,17,2.0,False
565,1220247,63652,53,5,14,5.0,False
566,379864,167069,70,4,13,2.0,False
567,1715762,109572,53,0,17,2.0,False
568,2821263,78230,10,2,12,30.0,False
569,1076725,82941,6,6,16,8.0,False
570,629999,102057,4,5,8,11.0,False
571,2135075,59130,53,0,19,6.0,False
572,2437831,51618,3,5,11,2.0,False
573,297729,1721,3,2,7,4.0,False
574,1590119,115438,25,3,15,9.0,False
575,1899085,198181,3,6,15,5.0,False
576,1300600,36941,11,0,2,4.0,False
577,2837175,62709,3,1,15,3.0,False
578,1868827,1210,3,5,13,7.0,False
579,1805158,163890,1,6,11,,True
580,2822738,41339,8,6,20,6.0,False
581,964092,125955,9,0,14,7.0,False
582,1295116,77958,7,4,20,22.0,False
583,2132076,194741,13,6,16,27.0,False
584,1374238,43627,13,0,9,26.0,False
585,514775,194449,50,2,10,3.0,False
586,2272598,90283,21,4,14,7.0,False
587,2476946,197191,18,6,10,10.0,False
588,3296996,189076,3,4,17,24.0,False
589,3140627,126868,26,4,10,1.0,False
590,2893335,204853,9,2,16,30.0,False
591,1393868,190004,9,0,16,15.0,False
592,1721088,101378,5,3,17,5.0,False
593,2528334,176632,9,1,16,6.0,False
594,2694342,141279,13,1,17,10.0,False
595,3022680,169381,33,4,11,18.0,False
596,247315,15801,46,3,18,2.0,False
597,1687552,161937,14,5,19,1.0,False
598,62081,69160,11,6,17,8.0,False
599,2274376,201057,5,5,10,4.0,False
600,2890126,32928,4,4,20,30.0,False
601,1378967,102906,20,4,13,1.0,False
602,1925837,63577,15,2,16,5.0,False
603,3252376,187387,5,6,12,16.0,False
604,677159,88396,17,5,10,14.0,False
605,1140928,122788,33,1,10,7.0,False
606,1705525,194485,31,5,9,6.0,False
607,2090078,12381,18,6,8,7.0,False
608,2585940,195780,44,0,15,3.0,False
609,203147,51176,41,4,18,0.0,False
610,3135196,198658,5,1,17,6.0,False
611,2616154,9817,34,6,13,9.0,False
612,1730328,136680,42,4,8,6.0,False
613,1275004,124481,9,0,17,6.0,False
614,1250951,68862,5,5,11,10.0,False
615,998669,2495,11,2,7,7.0,False
616,1243686,138680,8,0,14,22.0,False
617,1410352,16314,10,4,10,0.0,False
618,1818925,202082,10,1,14,27.0,False
619,2955237,193112,79,4,9,3.0,False
620,1818551,9223,4,6,15,3.0,False
621,588619,57366,4,1,14,14.0,False
622,1737265,92874,18,0,13,7.0,False
623,495797,50929,32,6,17,30.0,False
624,3070075,199691,2,5,17,30.0,False
625,2285591,177676,51,5,16,3.0,False
626,1009537,146286,1,5,20,,True
627,1585131,30183,46,2,10,2.0,False
628,1658360,105128,3,6,12,0.0,False
629,3332865,78038,21,0,11,8.0,False
630,3006622,95084,1,2,9,,True
631,1730106,150731,21,1,19,5.0,False
632,1364244,143240,17,1,8,11.0,False
633,1230564,1840,8,6,17,11.0,False
634,2232698,124838,27,6,17,3.0,False
635,2655217,62449,15,1,18,8.0,False
636,2437685,97219,15,0,10,30.0,False
637,1903953,76377,28,0,22,7.0,False
638,2360399,176940,27,4,10,2.0,False
639,1138841,63050,10,3,18,2.0,False
640,308571,40944,2,6,11,27.0,False
641,1563876,181025,35,1,12,9.0,False
642,1735237,77853,5,0,11,22.0,False
643,2763795,198405,27,2,15,9.0,False
644,1246037,138071,5,3,18,26.0,False
645,908235,179366,57,5,10,1.0,False
646,1659047,126122,44,0,17,5.0,False
647,373660,153550,8,4,11,7.0,False
648,2196242,142211,6,0,16,26.0,False
649,2865321,139551,25,3,11,8.0,False
650,1193730,109227,6,4,9,3.0,False
651,1506236,81663,2,1,7,3.0,False
652,3037687,41900,25,2,15,24.0,False
653,1155467,38686,27,0,14,20.0,False
654,1085615,57042,1,5,17,,True
655,1036586,122182,1,6,13,,True
656,1054189,178288,8,6,14,0.0,False
657,227798,155299,57,4,14,3.0,False
658,546588,118136,9,2,8,7.0,False
659,2655426,147046,11,6,11,1.0,False
660,579234,199601,6,4,16,6.0,False
661,2883411,67263,35,2,12,17.0,False
662,2053131,71821,68,5,14,1.0,False
663,2754,116331,35,4,20,2.0,False
664,2639396,72787,10,0,15,24.0,False
665,469581,63244,5,1,13,3.0,False
666,874287,80798,11,0,15,30.0,False
667,3218679,22385,16,3,11,1.0,False
668,2955229,183980,33,0,13,3.0,False
669,671773,33920,23,6,14,2.0,False
670,56015,133647,41,2,19,4.0,False
671,480992,84273,13,5,9,0.0,False
672,195885,91589,1,2,17,,True
673,999325,112230,24,1,14,8.0,False
674,2595701,96183,37,6,21,18.0,False
675,2332774,37608,10,3,18,3.0,False
676,898909,41891,4,4,8,30.0,False
